Name,Gender,Movies,Picture
John Lasseter,Male,2,/7EdqiNbr4FRjIhKHyPPdFfEEEFG.jpg
Joe Johnston,Male,2,/fok4jaO62v5IP6hkpaaAcXuw2H.jpg
Howard Deutch,Male,6,/68Vae1HkU1NxQZ6KEmuxIpno7c9.jpg
Charles Shyer,Male,6,/hnWGd74CbmTcDCFQiJ8SYLazIXW.jpg
Sydney Pollack,Male,13,/zxkoU2diKtvarV1Qk4z9He2lJj9.jpg
Peter Hewitt,Male,2,/wP8EyttEB2xca7udNERQb07eAda.jpg
Peter Hyams,Male,10,/dAuDsStGGlUESaaAYQf0GCE2JWo.jpg
Martin Campbell,Male,2,/qhx0AySf8yH3kiHrinWknUJbr1y.jpg
Mel Brooks,Male,4,/ndFo3LOYNCUghQTK833N1Wtuynr.jpg
Ang Lee,Male,5,/uTX0uIBLl3JIQunuAMDRHLorffh.jpg
Jon Amiel,Male,4,/tZf4VLvFobxizCzDQ6xQdygGT9.jpg
Mike Figgis,Male,8,/nIaxYZkNX6j70VQyHwzed1QxOXD.jpg
Oliver Parker,Male,3,/3qdUN7qhcQn4P3tEOTKJgTUdCIr.jpg
Roger Michell,Male,2,/zDjSgsAY44QJljrvzIZWnWauqlg.jpg
Jean-Jacques Annaud,Male,5,/sxNr4V5xESbnn6To1etsLoPj5SC.jpg
Christopher Hampton,Male,2,/7L7S5KHE21jFGL2IS1VXqQJxx9R.jpg
Andy Tennant,Male,3,/9gK8xFzybwDnWENijTdDHiP4M6o.jpg
Amy Heckerling,Female,5,/c68tZT9Be1triBbKmSOKCS3dsBI.jpg
Darrell James Roodt,Female,3,/oznevzK3stQIpJnnO70sK61TIS9.jpg
Richard Loncraine,Male,3,/j700yY5SyI1EZegFpL4h77Otu5W.jpg
Michael Hoffman,Male,4,/xrMI8tNQgHws3o3Ku5cdH3ayXZx.jpg
Paul W.S. Anderson,Male,4,/AeYYSi30WCkowdk04Awa0kr1E4S.jpg
Gus Van Sant,Male,5,/2WsDgxPivXtPHtsXK5QZ8U7zYEb.jpg
Patricia Rozema,Female,1,/s1lW8HDclRDEgOWrETAJ5eSGKda.jpg
Jodie Foster,Female,2,/eAIE6bnOQ8rm0f933gyeAQdIwrP.jpg
Michael Radford,Male,3,/bhKe3gIvinv8rBgyxdLsQbuZ6Gv.jpg
Frank Oz,Male,5,/aLH5bYwMIlVxCe4rIDaEsVJqDKn.jpg
Jason Bloom,Male,2,/fvQhQqGnf4cBq60FiLjeKWvvAqD.jpg
James Foley,Male,5,/ujAhQvNNnBqa6ZP2C46DMdAp09w.jpg
Josiane Balasko,Female,1,/ijdGcyrROO1bddXh6nNx4WcZcWb.jpg
Claude Lelouch,Male,1,/ngmASNQKQLSMriQajGZKaEcWcqc.jpg
Steve Miner,Male,9,/yk90jxBifKosxEyP8CITJk1BTtt.jpg
Christian Duguay,Male,4,/dz0da6lHPAzAFTZMR0LvsGUr8cd.jpg
Sean Penn,Male,4,/f2uy1zq0qmtLBpsr6N9uQ8FktOr.jpg
Brian Gibson,Male,2,/jjc2ARxLzv3El2tHeEUKC89vPtW.jpg
Jafar Panahi,Male,3,/a8HN99enx3plYkpb1UK1Jl6qnmS.jpg
Marleen Gorris,Female,3,/sSVUF5IE4nF4CCLzkwCfRmQz1Ws.jpg
Tim Reid,Male,1,/o5euxJdZMwtQJ37AiaklK8jHKuM.jpg
Henry Jaglom,Male,3,/yJRN22AlH1sDNXrq8rNqvL5ZpVo.jpg
Ken Kwapis,Female,3,/oPjor2KnZcSXmtude62KT62yBsu.jpg
Penelope Spheeris,Female,6,/6MiXfO2EdA0keiJf0RmGNfLTvAc.jpg
John Duigan,Male,7,/bLrx4OQz5g1RnlLQc9ungQ4XKqR.jpg
Wes Craven,Male,9,/vffssPtgNn2ZwoMfLCCDJAxlXGI.jpg
Kenneth Branagh,Male,5,/bmpGjbqvAVNOK3ggiuET2Jl96tZ.jpg
Nick Broomfield,Male,7,/ra54j6GHbTkkv9mPrzjllH1A5UF.jpg
Harold Becker,Male,8,/pZjPh9NdTE0gf4aSndMOMj7XaXs.jpg
Wes Anderson,Male,4,/s03CeUeC5yAXyB1acqP0zGNo2SC.jpg
Nick Castle,Male,5,/ecUHW93fTzJLCEZcpfvfjgNMi1o.jpg
John Dahl,Male,4,/klMxcB64Tu0sWCn3YDTMcGWPArQ.jpg
Clint Eastwood,Male,15,/wJosJW9DNWHOA8h63bQr2HgHC48.jpg
Doris Dörrie,Female,2,/2v1I1odswHZGMJYfSYmehJ3p4Ra.jpg
Brian Henson,Male,2,/m2Bczi1gvhnIYCGp8Fhg2QCPuNf.jpg
Stanley Tong,Male,2,/sG4jGodAJpyymBEEODAc0D09bBG.jpg
Eric Schaeffer,Male,4,/wmg75LITVwe4v8pwCipiGgx2vtP.jpg
Andrew Davis,Male,3,/vE3ls4wUsHQZAtu4gIzTIeQEmMG.jpg
David O. Russell,Male,3,/6aERBGHkLHpnd6V3pftvHoTvRvr.jpg
Peter MacDonald,Male,3,/dDWPhRbouxsTuwnUsmXvHnTDQOT.jpg
Moufida Tlatli,Female,1,/C2dz8Ap9z1df4zcxgoJ6bKpDKF.jpg
Rebecca Miller,Female,2,/gegphPh4ITZPYIuVrhigTLRD3C2.jpg
William Friedkin,Female,7,/7Wk3u34PNW7d87xKM7ajTomuaMI.jpg
Mark Rappaport,Female,1,/apv7hMj7we7M5fhyVJ1B0S9qYVq.jpg
Terence Davies,Male,2,/4VaF43xOqsy9rqRYwQy1dS88tLl.jpg
Mike Nichols,Male,14,/eJgJEVil7iOJ9sTAXLCVRKfeKKM.jpg
Edward Burns,Male,4,/jR0Z5bkcYxQ1V603v2RuWJZ4Uew.jpg
Michael Bay,Male,2,/65IyBCQOv5MQuPCGr4jshelqTox.jpg
Christopher Cain,Male,4,/atUMxA5Anavwqdd5tH3B3S8ayli.jpg
Mike Newell,Male,8,/aE6M4LhrTqtQ8i3WI5QeZAFN4pO.jpg
Abel Ferrara,Male,8,/spMsMgsJs8qwhLXgQO9VGNm9Rcn.jpg
Joel Schumacher,Male,10,/ijI5sCPqDvT18NRWCeBqw8BJIZx.jpg
John Boorman,Male,8,/zPZkbiZms6DUZz74xLLFFGUJY0n.jpg
Paul Auster,Male,1,/bNKAo8IdtMP6Fd85MfXsKoED7Bb.jpg
Wayne Wang,Female,6,/wtw5Cg8dWy9N7Fvn9SWvboibWek.jpg
Michael Moore,Male,4,/b44FupQ50ND6CpNCYkGRRu5THv4.jpg
Terry Zwigoff,Female,1,/xK366M7bo681aoCMIlSEs5ROCl9.jpg
Robert Rodriguez,Male,4,/bPqRdLWWwpOT8sBdj9PWOzNgwou.jpg
John McTiernan,Male,4,/tknmquMIO2oAVUZ0vVX78ALHyaT.jpg
Dwight H. Little,Female,4,/9Q77ZzYvRkVmfdU6twRQyvW4YB8.jpg
John Fortenberry,Male,2,/bYGojVLiv38qcBmWTOHOlser6Dr.jpg
Larry Clark,Male,2,/7JfnrUqvXafhqACvMewBVA3Klb.jpg
Tom DiCillo,Male,4,/epndh7usUrwI958G3Mbk6h4KXMU.jpg
Denys Arcand,Male,5,/6NBjKG33QncVVMa9cfalSs3xPKP.jpg
Antonia Bird,Female,3,/w0iiJhHZxgPoyOdFdCGMr89O9G.jpg
Anthony Waller,Male,2,/gRnnNlV55mM5Z2lnPF10xzaNuqr.jpg
Michael Almereyda,Male,4,/oiMAcT7GwLXBKTYWLl9FDBqrwHX.jpg
Irwin Winkler,Male,4,/chJjLXD7PlFhuyeverNCgemIAAC.jpg
Chris Columbus,Male,3,/2fHN78oumrJRM84UydgfVzj0YEl.jpg
Daisy von Scherler Mayer,Female,3,/ebJciI29YXLqblVayOIHqOAh4pD.jpg
Todd Haynes,Male,4,/ly6krNQ1yaKMUiTLQIyzvPri6Sy.jpg
Roland Joffé,Female,5,/kis74mAa2ZsccFr1ToDsrkMy7Gn.jpg
Jacques Demy,Female,1,/7f4Rg6B6HXM8gybOVVLWKYK2Bqw.jpg
Geoff Murphy,Male,3,/h9qts2xTEQyaI6ICnEcyLU69y7W.jpg
Diane Keaton,Female,2,/fzgUMnbOkxC6E3EFcYHWHFaiKyp.jpg
Alfonso Aráu,Male,3,/Agw6LyoGlrfJaBvTOQYzdxwUWHh.jpg
Greg Beeman,Male,1,/2wb6jVLAs1Qq9ay5BmMRch1R4no.jpg
Nikita Mikhalkov,Male,3,/tOZ7ba6iDqeizcVZVqnxNKk8ESZ.jpg
Richard Linklater,Male,5,/wNijRefhQCp0BkNqM5qhhdazDgx.jpg
Tamra Davis,Female,5,/6bKtaisEKoCI6NcmTkJfGRngbc4.jpg
Guy Ferland,Male,2,/nfDOPMhegfSlQMAVHfR3M8Grxfl.jpg
Herbert Ross,Female,13,/5bKYVnMfWhjAOmMHv7Y6boqnOja.jpg
Peter Horton,Male,1,/uq9ry9LRU2yn63LigCQFkB07CCY.jpg
Jeremy Leven,Male,1,/xLg0ZtIXhrdqvYTqVPZui6oC54h.jpg
Barry Levinson,Male,9,/AvPOBBODhSCtUJAqxeq2s0nYnTw.jpg
John Badham,Male,9,/vWzb3cQz4qYtfXQ6qyCrSTw61xA.jpg
Taylor Hackford,Female,5,/heZfdghufTV3t3ayrWvIuiP1jvb.jpg
Lawrence Kasdan,Male,6,/pBAB9NAMRhL2IBYcgLu6P1CdXbW.jpg
Billy Crystal,Male,2,/22PBSROMN6GmD7uxHpTNb0Unftt.jpg
Phillip Borsos,Female,3,/fIwPoBbTvv9sXrqEPmclkjJCI57.jpg
Kevin Lima,Male,3,/725jzhxXkAPIqo9P5nEnlBW3Q1y.jpg
Brett Leonard,Female,4,/24eM4jVMEY790YFNf3t7VhgX19z.jpg
Art Clokey,Female,1,/bunDvu4DlAf3ZqH78OUR0SIMCwA.jpg
Charles Burnett,Male,1,/9VNUSk6ybDPMhA0SIVzwcZGCLdX.jpg
Steve James,Male,3,/xDbq83XNYa52oG8YxTPTAooxmUc.jpg
Peter Jackson,Male,5,/kSrfI3TbMdIMmPVOflLQ56OfscB.jpg
Bernard Rose,Male,4,/pq8tgkUyoW36YoczEemKmCgwrYc.jpg
J. F. Lawton,Male,2,/b3EoYJqYlYwNjmBX4Be0iByMoPD.jpg
Fred Schepisi,Male,9,/gN30W0bFd4p55fiCT3oeBFVJqs9.jpg
Neil Jordan,Female,6,/4OWdIhT5gcfcHoBUzGL7E8tu9T1.jpg
Arne Glimcher,Female,2,/gQGL7gTL5QIz1p0ywzmBXgX8jdD.jpg
Barbet Schroeder,Male,5,/jDMy62PR1pfD0dX5E0K3Q6SI1wm.jpg
Alfonso Cuarón,Male,3,/3zYO8I24q4q3cJNohCg63V88uWo.jpg
Claude Chabrol,Female,12,/wth1muwK6ZnwAHw2GPN631cUJpe.jpg
Edward Zwick,Male,5,/ucBi071XeIGMEHaEGKtU6PN1FwN.jpg
James Gray,Male,2,/26NM43boSYspJiKeRc0gy41g9sA.jpg
Allison Anders,Female,4,/rsfxpcNEdmNqZyNcct0J695LhBK.jpg
Glenn Gordon Caron,Male,4,/nw1db9OzTefk72OvgmOiPbuglN2.jpg
Stephen Gyllenhaal,Male,2,/sGBf5Pz5Mxwd2eLWZemCxSe6mQX.jpg
Nora Ephron,Female,4,/2DO8ef3VVkcmMX2m0Qfz01IkMl4.jpg
