Title,Genre,Budget,Homepage,Language,Overview,Poster path,Production company,Release Date,Commercial Success,Revenue,Tagline,Vote Average,All Genres
Avatar,SF & Fantasy,237,http://www.avatarmovie.com/,English,In the 22nd century  a paraplegic Marine is dispatched to the moon Pandora on a unique mission  but becomes torn between following orders and protecting an alien civilization.,/kmcqlZGaSh20zpTbuoF0Cdn07dT.jpg,Ingenious Film Partners,2009,Blockbuster,2788,Enter the World of Pandora.,7.2,Action  Fantasy  Science Fiction  Adventure
Star Wars: The Force Awakens,Action,245,http://www.starwars.com/films/star-wars-episode-vii,English,Thirty years after defeating the Galactic Empire  Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.,/weUSwMdQIa3NaXVzwUoIIcAi85d.jpg,Lucasfilm,2015,Blockbuster,2068,Every generation has a story.,7.5,Action  Fantasy  Science Fiction  Adventure
Titanic,Romance,200,http://www.titanicmovie.com,English,84 years later  a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert  Brock Lovett  Lewis Bodine  Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912  on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother  Ruth DeWitt Bukater  and her fiancé  Caledon Hockley. Meanwhile  a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th  1912 at 2:20 in the morning.,/kHXEpyfl6zqn8a6YuozZUujufXf.jpg,Paramount Pictures,2012,Blockbuster,1845,Nothing on Earth could come between them.,9.5,Drama  Thriller  Romance
The Avengers,SF & Fantasy,220,http://marvel.com/avengers_movie/,English,When an unexpected enemy emerges and threatens global safety and security  Nick Fury  director of the international peacekeeping agency known as S.H.I.E.L.D.  finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe  a daring recruitment effort begins!,/cezWGskPY5x7GaglTTRN4Fugfb8.jpg,Paramount Pictures,2012,Blockbuster,1520,Some assembly required.,7.4,Action  Science Fiction  Adventure
Jurassic World,Thriller,150,http://www.jurassicworld.com/,English,Twenty-two years after the events of Jurassic Park  Isla Nublar now features a fully functioning dinosaur theme park  Jurassic World  as originally envisioned by John Hammond.,/jjBgi2r5cRt36xF6iNUEhzscEcb.jpg,Universal Studios,2015,Blockbuster,1514,The park is open.,6.5,Action  Science Fiction  Adventure  Thriller
Furious 7,Action,190,http://www.furious7.com/,English,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,/dCgm7efXDmiABSdWDHBDBx2jwmn.jpg,Universal Pictures,2015,Blockbuster,1506,Vengeance Hits Home,7.3,Action
Avengers: Age of Ultron,SF & Fantasy,280,http://marvel.com/movies/movie/193/avengers_age_of_ultron,English,When Tony Stark tries to jumpstart a dormant peacekeeping program  things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges  it is up to The Avengers to stop him from enacting his terrible plans  and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.,/t90Y3G8UGQp0f0DrP60wRu9gfrH.jpg,Marvel Studios,2015,Blockbuster,1405,A New Age Has Come.,7.3,Action  Science Fiction  Adventure
Harry Potter and the Deathly Hallows: Part 2,SF & Fantasy,125,http://www.harrypotter.com,English,Harry  Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards  Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.,/fTplI1NCSuEDP4ITLcTps739fcC.jpg,Warner Bros.,2011,Blockbuster,1342,It all ends here.,7.9,Fantasy  Family  Adventure
Frozen,Action,150,http://movies.disney.com/frozen,English,Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff  his reindeer Sven  and snowman Olaf. On an adventure where she will find out what friendship  courage  family  and true love really means.,/jIjdFXKUNtdf1bwqMrhearpyjMj.jpg,Walt Disney Pictures,2013,Blockbuster,1274,Only the act of true love will thaw a frozen heart.,7.3,Family  Adventure
Beauty and the Beast,Family,160,http://movies.disney.com/beauty-and-the-beast-2017,English,A live-action adaptation of Disney's version of the classic 'Beauty and the Beast' tale of a cursed prince and a beautiful young woman who helps him break the spell.,/tWqifoYuwLETmmasnGHO7xBjEtt.jpg,Walt Disney Pictures,2017,Blockbuster,1263,Be our guest.,6.8,Fantasy  Family  Romance
