relation,object,subject,character
Cast,Toy Story 3,Tom Hanks,Woody
Cast,Toy Story 3,Tim Allen,Buzz Lightyear
Cast,Toy Story 3,Don Rickles,Mr. Potato Head
Cast,Toy Story 3,Jim Varney,Slinky Dog
Cast,Toy Story 3,Wallace Shawn,Rex
Cast,Toy Story 3,John Ratzenberger,Hamm
Cast,Toy Story 3,Annie Potts,Bo Peep
Cast,Toy Story 3,John Morris,Andy
Cast,Toy Story 3,Erik von Detten,Sid
Cast,Toy Story 3,Laurie Metcalf,Mrs. Davis
Cast,Toy Story 3,R. Lee Ermey,Sergeant
Cast,Toy Story 3,Sarah Freeman,Hannah
Cast,Toy Story 3,Penn Jillette,TV Announcer
Director,Toy Story 3,John Lasseter,None
