relation,object,subject
Has Author,Erhnamgeddon,Tommi Hovi
Has Author,Necro,Randy Buehler
Has Author,Counter-Post,Jon Finkel
Has Author,Academy,Raphael Levy
Has Author,Jar,Randy Buehler
Has Author,Fires,Kai Budde
Has Author,Rebels,Kai Budde
Has Author,Psychatog,Kai Budde
Has Author,Wake,Dirk Baberowski
Has Author,Affinity,Antoine Ruel
Has Author,Ghazi-Glare,Kenji Tsumura
Has Author,UW Control,Gabriel Nassif
Has Author,Dragonstorm,Masashi Oiso
Has Author,Faeries,Paulo Vitor Damo Da Rosa
Has Author,Jund,Paul Rietzl
Has Author,Mythic Conscription,Josh Utter-Leyton
Has Author,Cawblade,Brian Kibler
Has Author,Delver,Gary Wise
Has Author,UWR Control,Luis Scott-Vargas
Has Author,Azban,Patrick Chapin
Has Author,Atarka Red,Bob Maher
Has Key Card,Erhnamgeddon,Armageddon
Has Key Card,Necro,Necropotence
Has Key Card,Counter-Post,Kjeldoran Outpost
Has Key Card,Academy,Tolarian Academy
Has Key Card,Jar,Memory Jar
Has Key Card,Fires,Fires of Yavimaya
Has Key Card,Rebels,Lin Sivvi Defiant Hero
Has Key Card,Psychatog,Psychatog
Has Key Card,Wake,Mirari s Wake
Has Key Card,Affinity,Darksteel Citadel
Has Key Card,Ghazi-Glare,Glare of Subdual
Has Key Card,UW Control,Martyr of Sands
Has Key Card,Dragonstorm,Dragonstorm
Has Key Card,Faeries,Mistbind Clique
Has Key Card,Jund,Bloodbraid Elf
Has Key Card,Mythic Conscription,Eldrazi Conscription
Has Key Card,Cawblade,Squadron Hawk
Has Key Card,Delver,Delver of Secrets
Has Key Card,UWR Control,Snapcaster Mage
Has Key Card,Azban,Siege Rhino
Has Key Card,Atarka Red,Atarka s Command
